image_id,entropy
0,2.7907046717394195
1,2.4362011302785884
2,2.937242256576983
3,2.6404462720427744
4,2.7344855500424265
5,2.72724285680688
6,2.523154035892914
7,2.7468779742760274
8,2.9386473318032444
9,2.8950919064782403
10,2.7022634647838024
11,2.9560277035427585
12,2.7643566953411383
13,2.643924200959062
14,2.480409193323135
15,2.700522262901986
16,2.8739272259472166
17,2.7011862576741903
18,2.8758409302593884
19,3.0137052968155222
20,2.3607508812094484
21,3.1026650986158284
22,2.7255834225685356
23,2.927108942972114
24,2.9873704827031897
25,2.806607321324058
26,2.8112257470552775
27,3.225639626109985
28,2.8364245492725537
29,2.598522895441813
30,2.8078807610708463
31,2.448359645028488
32,3.003824867464069
33,2.4514411622039316
34,3.092323247743864
35,2.7741545392113527
36,2.755023049172108
37,2.3576377789633165
38,3.0195091948950292
39,2.9143417210289395
40,2.658281179062082
41,2.923000502698962
42,2.7769542801042566
43,2.666790099455809
44,2.632335827112111
45,2.594760146829462
46,2.794470430074358
47,2.535906482933128
48,2.931570385208733
49,2.5196585863566856
50,3.0444459968024717
51,2.5681911075570247
52,2.8330525973815943
53,2.628425034827518
54,2.934854896673636
55,2.9393608030102145
56,2.750372622780279
57,2.912175437161839
58,2.2999998916502014
59,2.6544389984976893
60,2.929229602799169
61,2.7528920656947924
62,2.9595987900282816
63,2.942628435833402
64,2.783731420519609
65,3.0354046456793107
66,2.130164255786393
67,2.60977208626737
68,2.890763613485001
69,3.096405274770594
70,2.326603428306153
71,2.9299420525514774
72,2.6543024342594888
73,3.0150373234342687
74,2.993332270160014
75,2.916491678204452
76,2.832963520494149
77,2.8554849257349995
78,2.86423845748591
79,2.8933338769317856
80,2.8946299019404824
81,2.713129364893305
82,2.850661719938876
83,2.8727864007342854
84,2.2514197919089116
85,2.4864087500751255
86,2.877325135769084
87,2.783902597831384
88,2.6143740505402366
89,2.763099828179318
90,2.7251033098521535
91,2.8833328556837388
92,2.884501652636357
93,2.429394853548673
94,2.787008218271018
95,2.8289459910301193
96,3.0668167683060865
97,2.730139599421423
98,2.9122616383609974
99,2.7748189365111915
100,3.0839093949365335
101,2.599972222830512
102,3.0384010072536025
103,2.6766414961326706
104,2.777239193838124
105,2.823750804131995
106,2.682130518847098
107,2.293047317031203
108,2.65054908792219
109,2.786100461406358
110,2.666385046855677
111,2.7917321491399614
112,2.890127369724601
113,2.928268544093224
114,3.138581734631865
115,3.0279439789216545
116,2.7640504045686707
117,2.886814356270645
118,2.7559390427959247
119,2.6236919684968947
120,2.3538467441509083
121,2.9482910537733105
122,2.6909656956611627
123,2.619657437384255
124,3.0037512627910057
125,2.8666088843878823
126,2.8598492699749043
127,2.5322989562452825
128,2.710349744363465
129,2.9033967995531573
130,2.885130474109769
131,2.8126724382749737
132,2.661925535637092
133,2.4138914608722866
134,2.659372917495308
135,3.072957513895612
136,2.8472134245734253
137,2.831177155812676
138,2.621931764940138
139,2.9007545577113096
140,2.9048707976349344
141,2.2999068975751955
142,2.557105238524458
143,2.9669738663791403
144,2.9136578335690824
145,2.9632953415114223
146,2.4951219591331464
147,3.157377377668457
148,2.897757605508028
149,2.9462152522505813
150,3.092600551616768
151,2.6845299036608896
152,2.65507105045668
153,2.9935302145947595
154,2.779302505092916
155,2.9909332218280524
156,2.9805695950332103
157,2.823921897220032
158,2.6861656674425265
159,2.3860486020726976
160,2.806544201403146
161,2.859849480713233
162,2.6139416280887198
163,2.7811896111194416
164,3.038011709007127
165,2.607567044970673
166,2.8310989584806263
167,2.9003858810284937
168,2.9659543130829498
169,2.2965072624009317
170,2.799002040583086
171,2.2253844493297095
172,2.2395951819723363
173,2.9397942058191524
174,2.736728114960478
175,2.534969370487123
176,2.9492160224262824
177,3.015576263431266
178,2.9043620715070793
179,2.440716853114251
180,2.6896625486020254
181,2.6695854305604603
182,2.7085918413169865
183,2.85071865856118
184,2.782944348491692
185,3.098799459751177
186,2.5859209115315225
187,3.114371830792197
188,2.666845105174099
189,2.9545872593553
190,2.4871008536979358
191,2.7234403917174332
192,2.840882128928128
193,3.083541413695839
194,2.944935615426404
195,2.6441573042323223
196,2.8412004705706493
197,2.786208580304366
198,2.9446079319953675
199,2.5904729519290677
200,2.79105808640786
201,2.490953380482936
202,2.7221040443681583
203,2.491961781387193
204,2.8665706828703743
205,2.984979259358234
206,2.7116232387643078
207,2.929862424897963
208,2.724690239603384
209,2.9669059803309006
210,2.8926960234050645
211,2.654078624171042
212,2.8796615700520682
213,2.735348328903227
214,3.1219696152586334
215,2.8262924440640997
216,2.8603788643581614
217,2.9034946100822348
218,2.8656924579575667
219,2.9458920755822824
220,2.6961594373221303
221,2.800058526296332
222,2.920608121993966
223,2.7774058813163616
224,2.5527707671991346
225,2.9673793884333293
226,3.15157226395977
227,2.8605335094467703
228,2.379606652223424
229,2.621705725737453
230,2.8021801046477948
231,2.617924295871308
232,2.8281281188008065
233,2.9511200761265606
234,2.6609408453560426
235,2.8416012569838545
236,2.8516459436517447
237,3.1248012290186553
238,3.102307681125674
239,2.6968258512400762
240,2.510011880621724
241,2.3502173802962947
242,2.6071364104582315
243,2.68865061632833
244,2.9066455101073245
245,2.809751717677419
246,2.615060615091169
247,2.876908800069049
248,2.813343127690483
249,2.8046345380277975
250,2.9754075334834935
251,2.8550500554901057
252,2.2856548578527733
253,2.985317338492388
254,2.831666506135895
255,2.546396567935909
256,2.688200697883002
257,2.821924965529916
258,2.9260197228882054
259,2.9357239845003766
260,2.5892239848969045
261,2.6769560483058172
262,2.893425001994208
263,2.8988831142912304
264,2.7082019923368845
265,2.866034507225101
266,2.9781324373629188
